기준일시,시도명,거리 두기 단계,거리 두기 비고
2021년 09월 15일,서울,4,- 서울 전지역 4단계 (21.9.6~10.3.)
2021년 09월 15일,부산,3,- 부산 전지역 3단계 (21.9.6~10.3.)
2021년 09월 15일,대구,3,- 대구 전지역 3단계 (21.9.6~10.3.)
2021년 09월 15일,인천,4,"- 인천 일부지역 4단계 (21.9.6~10.3.)
- 강화군, 옹진군 3단계 (21.9.6~10.3.)"
2021년 09월 15일,광주,3,- 광주 전지역 3단계 (21.9.6~10.3.)
2021년 09월 15일,대전,3,- 대전 전지역 3단계 (21.9.6~10.3.)
2021년 09월 15일,울산,3,- 울산 전지역 3단계 (21.9.6~10.3.)
2021년 09월 15일,세종,3,- 세종 전지역 3단계 (21.9.6~10.3.)
2021년 09월 15일,경기,4,- 경기 전지역 4단계 (21.9.6~10.3.)
2021년 09월 15일,강원,3,"- 강원 춘천시, 원주시, 동해시, 강릉시, 속초시 3단계 (21.9.6~10.3.)
- 태백시, 삼척시, 횡성군, 영월군, 평창군, 정선군, 철원군, 화천군, 양구군, 인제군, 고성군, 양양군, 홍천군 2단계 (21.9.6~10.3.)"
2021년 09월 15일,충북,3,- 충북 전지역 3단계 (21.9.6~10.3.)
2021년 09월 15일,충남,3,- 충남 전지역 3단계 (21.9.6~10.3.)
2021년 09월 15일,전북,3,"- 전북 일부지역 3단계 (21.9.6~10.3.)
- 정읍시, 남원시, 김제시, 완주군(혁신도시 갈산리 제외), 진안군, 무주군, 장수군, 임실군, 순창군, 고창군, 부안군 2단계 (21.9.6~10.3.)"
2021년 09월 15일,전남,3,- 전남 전지역 3단계 (21.9.6~10.3.)
2021년 09월 15일,경북,3,"- 경북 일부지역 3단계 (21.9.6~10.3.)
- 문경시, 상주시 2단계 (21.9.6~10.3.)
- 군위군, 의성군, 청송군, 영양군, 영덕군, 청도군, 고령군, 성주군, 예천군, 봉화군, 울릉군, 울진군 1단계 (21.9.6~10.3.)"
2021년 09월 15일,경남,3,- 경남 전지역 3단계 (21.9.6~10.3.)
2021년 09월 15일,제주,4,- 제주 전지역 4단계 (21.8.30~9.22)
